TimeLimit = 120;

NT = 89;

DTm = {<1 1 28>
<1 2 17>
<1 3 7>
<1 4 10>
<1 5 12>
<1 6 16>
<1 7 13>
<1 8 8>
<1 9 13>
<1 10 24>
<1 11 16>
<1 12 24>
<1 13 12>
<1 14 20>
<1 15 22>
<1 16 22>
<1 17 22>
<1 18 47>
<1 19 6>
<1 20 12>
<1 21 6>
<1 22 22>
<1 23 7>
<1 24 14>
<1 25 68>
<1 26 15>
<1 27 8>
<1 28 74>
<1 29 32>
<1 30 11>
<1 31 18>
<1 32 15>
<1 33 42>
<1 34 27>
<1 35 38>
<1 36 38>
<1 37 26>
<1 38 35>
<1 39 31>
<1 40 8>
<1 41 14>
<1 42 8>
<1 43 8>
<1 44 8>
<1 45 17>
<1 46 7>
<1 47 19>
<1 48 12>
<1 49 24>
<1 50 26>
<1 51 22>
<1 52 14>
<1 53 27>
<1 54 60>
<1 55 4>
<1 56 2>
<1 57 1>
<1 58 9>
<1 59 5>
<1 60 6>
<1 61 7>
<1 62 12>
<1 63 2>
<1 64 11>
<1 65 14>
<1 66 6>
<1 67 21>
<1 68 14>
<1 69 1>
<1 70 6>
<1 71 21>
<1 72 11>
<1 73 14>
<1 74 28>
<1 75 12>
<1 76 11>
<1 77 30>
<1 78 22>
<1 79 14>
<1 80 31>
<1 81 18>
<1 82 16>
<1 83 7>
<1 84 38>
<1 85 8>
<1 86 31>
<1 87 29>
<1 88 12>
<1 89 18>
};

PREC = {<1, 2>
<2, 3>
<3, 4>
<4, 5>
<4, 6>
<4, 7>
<4, 8>
<4, 9>
<5, 10>
<6, 11>
<7, 12>
<8, 18>
<9, 18>
<10, 14>
<11, 12>
<12, 13>
<13, 14>
<14, 15>
<14, 16>
<15, 17>
<16, 54>
<17, 18>
<18, 19>
<18, 20>
<19, 22>
<20, 21>
<20, 28>
<21, 54>
<22, 23>
<23, 24>
<24, 25>
<25, 26>
<25, 27>
<25, 29>
<26, 37>
<27, 33>
<28, 29>
<29, 31>
<30, 54>
<31, 32>
<32, 33>
<33, 34>
<34, 35>
<35, 36>
<35, 37>
<36, 38>
<37, 38>
<38, 39>
<39, 40>
<39, 41>
<39, 42>
<39, 43>
<40, 44>
<41, 53>
<42, 53>
<43, 45>
<44, 52>
<45, 46>
<46, 47>
<47, 48>
<47, 49>
<49, 50>
<50, 51>
<51, 52>
<52, 53>
<53, 68>
<53, 69>
<53, 70>
<53, 71>
<54, 55>
<55, 56>
<56, 57>
<57, 58>
<57, 59>
<57, 60>
<57, 61>
<57, 62>
<57, 63>
<57, 64>
<57, 65>
<57, 66>
<58, 67>
<59, 67>
<60, 67>
<61, 67>
<62, 67>
<63, 67>
<64, 67>
<65, 67>
<66, 67>
<67, 73>
<68, 72>
<69, 72>
<70, 72>
<71, 73>
<72, 78>
<72, 80>
<73, 74>
<74, 75>
<74, 76>
<75, 77>
<76, 81>
<77, 78>
<78, 79>
<79, 81>
<80, 81>
<80, 87>
<81, 82>
<81, 84>
<81, 85>
<82, 83>
<83, 86>
<84, 86>
<85, 86>
<86, 87>
<86, 89>
<87, 88>
<87, 89>
};



NW = 23;
NS = 23;
NM = 1;
OR = [1.0];
precision = 0.0133333333333333;
WSFIXe = {
<1 1>
<2 2>
<3 3>
<4 4>
<5 5>
<6 6>
<7 7>
<8 8>
<9 9>
<10 10>
<11 11>
<12 12>
<13 13>
<14 14>
<15 15>
<16 16>
<17 17>
<18 18>
<19 19>
<20 20>
<21 21>
<22 22>
<23 23>
};
WSFEASe = { };
TSFIXe = { };
FATSe = { };
MT = { };
TTIne = { };
TWIne = { };
