TimeLimit = 120;

NT = 35;

DTm = {<1 1 29>
<1 2 3>
<1 3 5>
<1 4 22>
<1 5 6>
<1 6 14>
<1 7 2>
<1 8 5>
<1 9 22>
<1 10 30>
<1 11 23>
<1 12 30>
<1 13 23>
<1 14 2>
<1 15 19>
<1 16 29>
<1 17 2>
<1 18 2>
<1 19 19>
<1 20 29>
<1 21 6>
<1 22 10>
<1 23 16>
<1 24 23>
<1 25 5>
<1 26 5>
<1 27 5>
<1 28 40>
<1 29 2>
<1 30 5>
<1 31 5>
<1 32 1>
<1 33 40>
<1 34 2>
<1 35 2>
};

PREC = {<1, 2>
<1, 5>
<1, 7>
<1, 10>
<1, 12>
<2, 3>
<3, 4>
<4, 11>
<5, 6>
<6, 7>
<6, 8>
<7, 14>
<7, 18>
<8, 9>
<9, 13>
<10, 14>
<11, 28>
<11, 33>
<12, 18>
<13, 28>
<13, 33>
<14, 15>
<15, 16>
<16, 21>
<17, 20>
<18, 19>
<19, 20>
<20, 21>
<21, 22>
<21, 25>
<21, 30>
<21, 32>
<22, 23>
<23, 24>
<24, 27>
<25, 26>
<26, 27>
<27, 28>
<27, 33>
<27, 34>
<28, 29>
<30, 31>
<31, 32>
<32, 33>
<33, 35>
};



NW = 11;
NS = 11;
NM = 1;
OR = [1.0];
precision = 0.0204081632653061;
WSFIXe = {
<1 1>
<2 2>
<3 3>
<4 4>
<5 5>
<6 6>
<7 7>
<8 8>
<9 9>
<10 10>
<11 11>
};
WSFEASe = { };
TSFIXe = { };
FATSe = { };
MT = { };
TTIne = { };
TWIne = { };
