TimeLimit = 120;

NT = 111;

DTm = {<1 1 1960>
<1 2 1715>
<1 3 735>
<1 4 1715>
<1 5 490>
<1 6 1225>
<1 7 169>
<1 8 2252>
<1 9 1225>
<1 10 2319>
<1 11 1715>
<1 12 980>
<1 13 735>
<1 14 2281>
<1 15 2750>
<1 16 77>
<1 17 89>
<1 18 51>
<1 19 364>
<1 20 405>
<1 21 3060>
<1 22 125>
<1 23 3429>
<1 24 43>
<1 25 3430>
<1 26 1960>
<1 27 29>
<1 28 27>
<1 29 15>
<1 30 121>
<1 31 1715>
<1 32 2127>
<1 33 1470>
<1 34 4037>
<1 35 68>
<1 36 62>
<1 37 42>
<1 38 364>
<1 39 4998>
<1 40 1470>
<1 41 2963>
<1 42 5689>
<1 43 68>
<1 44 18>
<1 45 10>
<1 46 81>
<1 47 5200>
<1 48 39>
<1 49 67>
<1 50 27>
<1 51 15>
<1 52 121>
<1 53 58>
<1 54 1715>
<1 55 125>
<1 56 4010>
<1 57 1470>
<1 58 1470>
<1 59 2303>
<1 60 1960>
<1 61 2205>
<1 62 4018>
<1 63 2744>
<1 64 2999>
<1 65 735>
<1 66 735>
<1 67 735>
<1 68 735>
<1 69 545>
<1 70 3386>
<1 71 3234>
<1 72 2205>
<1 73 2206>
<1 74 490>
<1 75 825>
<1 76 3528>
<1 77 3568>
<1 78 1200>
<1 79 618>
<1 80 1470>
<1 81 1715>
<1 82 735>
<1 83 1960>
<1 84 2889>
<1 85 618>
<1 86 490>
<1 87 735>
<1 88 490>
<1 89 921>
<1 90 326>
<1 91 5390>
<1 92 243>
<1 93 371>
<1 94 58>
<1 95 5059>
<1 96 1225>
<1 97 769>
<1 98 768>
<1 99 1670>
<1 100 1670>
<1 101 490>
<1 102 202>
<1 103 203>
<1 104 202>
<1 105 2744>
<1 106 162>
<1 107 324>
<1 108 162>
<1 109 121>
<1 110 162>
<1 111 91>
};

PREC = {<1, 2>
<2, 3>
<3, 4>
<4, 5>
<4, 6>
<4, 7>
<4, 8>
<4, 9>
<4, 10>
<5, 39>
<6, 39>
<7, 83>
<8, 71>
<9, 32>
<10, 11>
<10, 12>
<11, 13>
<11, 14>
<11, 15>
<11, 16>
<11, 17>
<11, 18>
<11, 19>
<11, 20>
<11, 21>
<12, 13>
<12, 14>
<12, 15>
<12, 16>
<12, 17>
<12, 18>
<12, 19>
<12, 20>
<12, 21>
<13, 71>
<14, 22>
<14, 23>
<14, 24>
<14, 25>
<15, 26>
<16, 27>
<17, 28>
<18, 29>
<19, 30>
<20, 91>
<21, 111>
<22, 31>
<22, 83>
<23, 32>
<23, 33>
<24, 69>
<24, 70>
<25, 34>
<26, 82>
<27, 35>
<28, 36>
<29, 37>
<30, 38>
<31, 39>
<32, 41>
<33, 111>
<34, 42>
<35, 43>
<36, 44>
<36, 91>
<37, 45>
<37, 91>
<38, 46>
<38, 91>
<39, 40>
<40, 111>
<41, 69>
<41, 70>
<42, 47>
<43, 48>
<43, 49>
<44, 50>
<45, 51>
<46, 52>
<47, 54>
<47, 55>
<47, 56>
<47, 57>
<47, 58>
<47, 59>
<47, 60>
<48, 53>
<49, 91>
<50, 111>
<51, 111>
<52, 111>
<53, 111>
<54, 69>
<54, 70>
<55, 61>
<55, 62>
<55, 63>
<56, 63>
<56, 64>
<57, 65>
<57, 91>
<58, 66>
<58, 91>
<59, 67>
<59, 91>
<60, 68>
<60, 91>
<61, 69>
<61, 70>
<62, 71>
<63, 111>
<64, 72>
<65, 111>
<66, 111>
<67, 111>
<68, 111>
<69, 77>
<69, 78>
<70, 73>
<71, 91>
<72, 74>
<73, 75>
<74, 76>
<75, 77>
<75, 78>
<75, 79>
<76, 80>
<76, 81>
<76, 82>
<77, 83>
<78, 84>
<79, 85>
<80, 86>
<80, 91>
<81, 87>
<81, 91>
<82, 111>
<83, 91>
<84, 88>
<84, 89>
<84, 91>
<85, 111>
<86, 111>
<87, 90>
<88, 105>
<89, 105>
<90, 111>
<91, 92>
<91, 93>
<91, 94>
<92, 95>
<93, 95>
<94, 95>
<95, 96>
<95, 97>
<95, 98>
<95, 99>
<95, 100>
<95, 104>
<96, 101>
<97, 102>
<98, 103>
<99, 111>
<100, 111>
<101, 105>
<102, 106>
<102, 107>
<103, 107>
<103, 108>
<104, 111>
<105, 111>
<106, 109>
<107, 111>
<108, 110>
<109, 111>
<110, 111>
};



NW = 27;
NS = 27;
NM = 1;
OR = [1.0];
precision = 0.000175746924428823;
WSFIXe = {
<1 1>
<2 2>
<3 3>
<4 4>
<5 5>
<6 6>
<7 7>
<8 8>
<9 9>
<10 10>
<11 11>
<12 12>
<13 13>
<14 14>
<15 15>
<16 16>
<17 17>
<18 18>
<19 19>
<20 20>
<21 21>
<22 22>
<23 23>
<24 24>
<25 25>
<26 26>
<27 27>
};
WSFEASe = { };
TSFIXe = { };
FATSe = { };
MT = { };
TTIne = { };
TWIne = { };
