TimeLimit = 120;

NT = 58;

DTm = {<1 1 10>
<1 2 53>
<1 3 41>
<1 4 36>
<1 5 35>
<1 6 17>
<1 7 34>
<1 8 23>
<1 9 14>
<1 10 52>
<1 11 33>
<1 12 34>
<1 13 12>
<1 14 52>
<1 15 12>
<1 16 33>
<1 17 44>
<1 18 7>
<1 19 15>
<1 20 13>
<1 21 29>
<1 22 37>
<1 23 43>
<1 24 23>
<1 25 24>
<1 26 9>
<1 27 16>
<1 28 12>
<1 29 26>
<1 30 22>
<1 31 51>
<1 32 47>
<1 33 34>
<1 34 23>
<1 35 12>
<1 36 52>
<1 37 12>
<1 38 33>
<1 39 44>
<1 40 7>
<1 41 15>
<1 42 13>
<1 43 29>
<1 44 37>
<1 45 43>
<1 46 23>
<1 47 24>
<1 48 9>
<1 49 16>
<1 50 12>
<1 51 26>
<1 52 12>
<1 53 52>
<1 54 12>
<1 55 33>
<1 56 44>
<1 57 7>
<1 58 15>
};

PREC = {<1, 9>
<2, 25>
<3, 21>
<3, 22>
<4, 10>
<5, 36>
<6, 23>
<6, 24>
<7, 43>
<8, 44>
<9, 11>
<11, 13>
<11, 14>
<11, 15>
<12, 17>
<13, 17>
<14, 17>
<15, 17>
<16, 18>
<17, 20>
<18, 19>
<19, 23>
<20, 21>
<20, 25>
<21, 26>
<21, 44>
<22, 27>
<23, 31>
<24, 31>
<25, 38>
<26, 29>
<27, 30>
<28, 32>
<28, 33>
<29, 31>
<30, 34>
<31, 36>
<32, 45>
<33, 35>
<34, 36>
<35, 43>
<36, 37>
<36, 38>
<37, 39>
<37, 40>
<37, 41>
<38, 52>
<39, 43>
<40, 43>
<41, 42>
<42, 43>
<43, 45>
<44, 45>
<45, 46>
<45, 48>
<45, 49>
<46, 47>
<46, 50>
<47, 51>
<48, 55>
<49, 58>
<50, 58>
<51, 52>
<52, 53>
<53, 54>
<54, 55>
<54, 56>
<55, 57>
<56, 57>
<57, 58>
};



NW = 14;
NS = 14;
NM = 1;
OR = [1.0];
precision = 0.00892857142857143;
WSFIXe = {
<1 1>
<2 2>
<3 3>
<4 4>
<5 5>
<6 6>
<7 7>
<8 8>
<9 9>
<10 10>
<11 11>
<12 12>
<13 13>
<14 14>
};
WSFEASe = { };
TSFIXe = { };
FATSe = { };
MT = { };
TTIne = { };
TWIne = { };
